"Publisher ID","Publisher Name","Keyword ID","Keyword","Match Type","Campaign","Keyword Group","Category","Bid Strategy","Status","Search Engine Bid","Clicks","Avg Cost per Click","Impressions","Engine Click Thru Percent","Avg Pos","Trans Conv Percent","Total Cost/Trans","Amount","Total Cost","Total Volume of Bookings"
"K435","Google - US","43000000014117659","paris flights","Broad","Geo Targeted Los Angeles","Los Angeles to Paris Sale","uncategorized","Position 5-10 Bid Strategy","Paused",6.25,22,2.71,649,3.39,2.46,4.55,59.6,1700,59.6,1
"K2966","MSN - US","43000000031840135","air france airlines","Broad","Air France Brand & French Destinations","Air France Brand","uncategorized","No Strategy","Live",0,312,0.69,1587,19.66,1.63,2.56,27.03,6131.05,216.25,8
"K1123","Overture - Global","43000000005421410","air france ticket","Advanced","Unassigned","Unassigned","airfrance","Position 1-2 Target","Paused",0.5,111,0.47,14856,0.75,2,1.8,26.24,1455.2,52.47,2
"K1175","Google - Global","43000000019449336","airfrance","Broad","Air France Brand & French Destinations","Air France Brand","uncategorized","No Strategy","Unavailable",5,2908,0.65,13075,22.24,1.02,1.55,41.87,50472.15,1884.29,45
"K2003","MSN - Global","43000000019452320","airfrance com","Broad","Air France Brand & French Destinations","Air France Website","uncategorized","Position 1-4 Bid Strategy","Deactivated",0,1514,0.42,4976,30.43,1.02,1.25,33.13,16670.2,629.45,19
"K2003","MSN - Global","43000000019452378","paris airfare","Broad","Air France Brand & French Destinations","Paris","uncategorized","Position 1-4 Bid Strategy","Deactivated",0,59,2.18,1759,3.35,2.04,3.39,64.19,3311.6,128.39,2
"K2615","Yahoo - US","43000000027382608","airfrance","Advanced","Air France Branded","Air France Brand","uncategorized","No Strategy","Live",6.25,4353,0.83,23872,18.23,1.44,1.59,52.51,92751.15,3623.21,69
"K1122","Overture - US","43000000007003964","amman","Standard","Unassigned","Unassigned","regional","Position 1-4 Bid Strategy","Paused",11.25,150,0.64,4028,3.72,1.47,0.67,96.72,2425.9,96.72,1
"K1122","Overture - US","43000000006997655","air ticket europe","Standard","Unassigned","Unassigned","airgeneral","Position 1-4 Bid Strategy","Paused",1.26,112,0.73,3236,3.46,3.23,2.68,27.35,2052.75,82.04,3
"K1122","Overture - US","43000000014278636","air france flight","Standard","Unassigned","Unassigned","airfrance","Position 1-4 Bid Strategy","Paused",0.34,98,0.49,7805,1.26,1.47,2.04,24.19,1201.9,48.39,2
"K1123","Overture - Global","43000000008202832","bordeaux flight","Advanced","Unassigned","Unassigned","bordeaux","No Strategy","Paused",8.75,60,0.69,2547,2.36,1.03,1.67,41.26,1002.15,41.26,1
"K435","Google - US","43000000014113701","paris plane ticket","Broad","Geo Targeted New York","New York to Paris Sale","uncategorized","Position 5-10 Bid Strategy","Live",6.25,6,2.69,27,22.22,1.63,16.67,16.11,391,16.11,1
"K435","Google - US","43000000013068710","air france to nice","Broad","French Destinations","Nice Branded","uncategorized","Position 2-5 Bid Strategy","Live",10,59,1.74,234,25.21,1.08,5.08,34.13,2470.1,102.4,3
"K2003","MSN - Global","43000000019452511","air france airlines","Broad","Air France Brand & French Destinations","Air France Brand","uncategorized","Position 1-4 Bid Strategy","Deactivated",0,465,0.63,2153,21.6,1.06,0.43,146.34,7043.95,292.69,2
"K1123","Overture - Global","43000000005421040","air ticket to paris","Advanced","Unassigned","Unassigned","paris","Position 1-2 Target","Sent",0.7,37,0.6,765,4.84,2.08,2.7,22.17,522.75,22.17,1
"K1123","Overture - Global","43000000006981710","flight to marseille","Advanced","Unassigned","Unassigned","marseille","No Strategy","Paused",8.75,231,0.7,11620,1.99,1.17,1.3,54.02,3791.85,162.06,3
"K435","Google - US","43000000017532151","airfrance fr","Broad","Air France Branded","Air France Website","uncategorized","No Strategy","Live",10,41,0.22,486,8.44,1,2.44,9.04,210.8,9.04,1
"K1123","Overture - Global","43000000005421426","air france flight","Advanced","Unassigned","Unassigned","airfrance","Position 1-2 Target","Paused",0.34,251,0.59,15470,1.62,1.77,1.99,29.81,3410.2,149.06,5
"K2003","MSN - Global","43000000019452248","airfrance","Broad","Air France Brand & French Destinations","Air France Brand","uncategorized","Position 1-4 Bid Strategy","Deactivated",0,1158,0.49,8389,13.8,1.05,1.3,37.97,12942.1,569.59,15
"K1123","Overture - Global","43000000005421080","air france","Advanced","Unassigned","Unassigned","airfrance","Position 1-2 Target","Paused",0.68,15320,0.67,441707,3.47,1.76,1.31,51.53,232938.25,10306.84,200
"K1175","Google - Global","43000000019449085","airfrance com","Broad","Air France Brand & French Destinations","Air France Website","uncategorized","No Strategy","Unavailable",5,899,0.63,4656,19.31,1.12,1.89,33.23,12584.25,564.86,17
"K1175","Google - Global","43000000019449044","trip to paris france","Broad","Air France Brand & French Destinations","Paris","uncategorized","No Strategy","Unavailable",5,29,2.89,185,15.68,1.31,6.9,41.96,1866.6,83.92,2
"K1123","Overture - Global","43000000006981755","flight nice paris","Advanced","Unassigned","Unassigned","paris","No Strategy","Sent",8.75,17,0.42,595,2.86,1.38,5.88,7.16,154.7,7.16,1
"K1123","Overture - Global","43000000005420998","cheap flight to france","Advanced","Unassigned","Unassigned","flight","Position 1-2 Target","Paused",0.89,149,0.86,18777,0.79,1.47,0.67,127.9,2754,127.9,1
"K435","Google - US","43000000013068768","air france site","Broad","Air France Branded","Air France Website","uncategorized","Position 2-5 Bid Strategy","Live",0.44,110,0.37,718,15.32,1.16,1.82,20.17,855.1,40.34,2
"K2003","MSN - Global","43000000019452352","air france","Broad","Air France Brand & French Destinations","Air France Brand","uncategorized","Position 1-4 Bid Strategy","Deactivated",0,5848,0.79,43722,13.38,1.14,1.37,57.88,97222.15,4630.49,80
"K2966","MSN - US","43000000031840136","paris airfare","Broad","Air France Brand & French Destinations","Paris","uncategorized","No Strategy","Live",0,15,2.05,372,4.03,3.44,6.67,30.71,629,30.71,1
"K435","Google - US","43000000013136065","book air france","Broad","Air France Branded","Air France Brand","uncategorized","Position 1-2 Target","Live",0.53,25,1.53,379,6.6,1.43,4,38.15,780.3,38.15,1
"K1123","Overture - Global","43000000005421128","discount airfare to france","Advanced","Unassigned","Unassigned","airfare","Position 1-2 Target","Paused",0.49,12,0.58,572,2.1,2.49,8.33,6.99,142.8,6.99,1
"K435","Google - US","43000000014127815","paris flights","Broad","Geo Targeted Boston","Boston to Paris Sale","uncategorized","Position 5-10 Bid Strategy","Paused",6.25,32,2.12,2184,1.47,2.31,3.13,67.79,1333.65,67.79,1
"K1123","Overture - Global","43000000005420980","cannes flight","Standard","Unassigned","Unassigned","cannes","Position 1-2 Target","Paused",0.61,26,0.58,235,11.06,1.69,3.85,15.17,298.35,15.17,1
"K435","Google - US","43000000014110638","paris airfare","Broad","Geo Targeted San Francisco","San Francisco to Paris Sale","uncategorized","Position 5-10 Bid Strategy","Paused",6.25,32,2.09,293,10.92,1.5,3.13,66.88,1286.9,66.88,1
"K2966","MSN - US","43000000031840461","airfrance","Broad","Air France Brand & French Destinations","Air France Brand","uncategorized","No Strategy","Live",0,1462,1.03,11628,12.57,1.19,1.71,60.5,27267.15,1512.39,25
"K1175","Google - Global","43000000019449114","[air france]","Exact","Air France Brand & French Destinations","Air France Brand","uncategorized","No Strategy","Unavailable",5,14713,1.04,44023,33.42,1.02,1.57,66.36,264650.9,15329.74,231
"K1123","Overture - Global","43000000005421286","air france airline","Advanced","Unassigned","Unassigned","airfrance","Position 1-2 Target","Paused",0.53,1553,0.61,52774,2.94,1.92,1.09,55.48,16010.6,943.1,17
"K1122","Overture - US","43000000017532929","airfrance","Standard","Unassigned","Unassigned","airfrance","No Strategy","Paused",7.5,5637,0.78,184486,3.06,1.81,1.28,61.24,74759.2,4409.19,72
"K1122","Overture - US","43000000014278845","air france reservation","Standard","Unassigned","Unassigned","airfrance","Position 1-4 Bid Strategy","Paused",0.6,342,0.62,9978,3.43,1.26,0.58,106.65,3610.8,213.3,2
"K435","Google - US","43000000013071315","flights to florence","Broad","Western Europe Destinations","Florence","uncategorized","Position 5-10 Bid Strategy","Unavailable",0,131,1.35,3441,3.81,4.89,3.05,44.2,2956.3,176.81,4
"K2615","Yahoo - US","43000000027382613","air france airline","Advanced","Air France Branded","Air France Brand","uncategorized","No Strategy","Live",6.25,1891,0.52,14438,13.1,1.43,0.74,70.44,16116,986.11,14
