"","Publisher ID","Publisher Name","Keyword ID","Keyword","Match Type","Campaign","Keyword Group","Category","Bid Strategy","Status","Search Engine Bid","Clicks","Avg. Cost per Click","Impressions","Engine Click Thru %","Avg. Pos.","Trans. Conv. %","Total Cost/ Trans","Amount","Total Cost","Total Volume of Bookings"
"45","K1175","Google - Global",4.3e+16,"airfrance com","Broad","Air France Global Campaign","Air France Website","airfrancewebsite","Position 1- 3","Unavailable",2.5,548,0.45,2919,18.77,1.47,2.19,20.66,23041.8,247.94,12
"46","K1123","Overture - Global",4.3e+16,"new york to paris","Advanced","Unassigned","Unassigned","paris","Position 1-2 Target","Sent",0.73,39,0.63,2364,1.65,3.63,2.56,24.44,2226.15,24.44,1
"47","K435","Google - US",4.3e+16,"cont:google_yearlong 2006::google|europe","N/A","Google_Yearlong 2006","Google|Europe","uncategorized","No Strategy","Unavailable",7.5,112,0.28,157285,0.07,2.31,0.89,31.65,2882.35,31.65,1
"48","K435","Google - US",4.3e+16,"airfrance","Broad","Air France Branded","Air France Brand","uncategorized","No Strategy","Live",27.5,11789,0.2,78814,14.96,1.13,1.85,11.07,216915.75,2412.51,218
"49","K1123","Overture - Global",4.3e+16,"cheap travel france","Advanced","Unassigned","Unassigned","france","Position 1-2 Target","Sent",0.48,20,0.52,501,3.99,2.12,5,10.4,935,10.4,1
"50","K435","Google - US",4.3e+16,"paris flight","Broad","Geo Targeted Philadelphia","Philadelphia to Paris Sale","uncategorized","Position 5-10 Bid Strategy","Paused",6.25,2,2.44,38,5.26,1.71,50,4.89,434.35,4.89,1
"51","K1123","Overture - Global",4.3e+16,"airfrance.us","Advanced","Unassigned","Unassigned","airfrancewebsite","Position 1-2 Target","Paused",0.14,207,0.17,1100,18.82,1.17,1.93,8.72,3035.35,34.87,4
"52","K435","Google - US",4.3e+16,"airfrance airlines","Broad","Air France Branded","Air France Brand","uncategorized","Position 1 -2 Target","Live",0.35,116,0.51,776,14.95,1.3,4.31,11.87,5146.75,59.35,5
"53","K435","Google - US",4.3e+16,"florence cheap tickets","Broad","Geo Targeted New York","New York to Florence Sale","uncategorized","Position 5-10 Bid Strategy","Unavailable",6.25,3,1.99,6,50,2,33.33,5.97,490.45,5.97,1
"54","K2615","Yahoo - US",4.3e+16,"air france travel","Advanced","Air France Branded","Air France Brand","uncategorized","No Strategy","Live",6.25,24,1.41,1171,2.05,3.07,4.17,33.79,2772.7,33.79,1
