Publisher ID,Publisher Name,Keyword ID,Keyword,Match Type,Campaign,Keyword Group,Category,Bid Strategy,Keyword Type,Status,Search Engine Bid,Clicks,Click Charges,Avg. Cost per Click,Impressions,Engine Click Thru %,Avg. Pos.,Trans. Conv. %,Total Cost/ Trans,Amount,Total Cost,Total Volume of Bookings
K435,Google - US,4.3E+16,paris airfare,Broad,Geo Targeted Chicago,Chicago to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Unavailable,$6.25 ,24,$44.51 ,$1.85 ,194,12.37%,1.71,4.17%,$44.51 ,"$1,530.00 ",$44.51 ,1
K1123,Overture - Global,4.3E+16,air france reservation,Advanced,Unassigned,Unassigned,airfrance,Position 1-2 Target,Unassigned,Paused,$0.45 ,302,$176.77 ,$0.59 ,"22,484",1.34%,1.31,1.99%,$29.46 ,"$5,888.80 ",$176.77 ,6
K1123,Overture - Global,4.3E+16,air france usa,Advanced,Unassigned,Unassigned,airfrance,Position 1-2 Target,Unassigned,Paused,$7.50 ,116,$41.95 ,$0.36 ,"4,815",2.41%,1.99,0.86%,$41.95 ,"$1,394.85 ",$41.95 ,1
K435,Google - US,4.3E+16,italy airline,Broad,Geo Targeted San Francisco,San Francisco to Italy Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Unavailable,$6.25 ,16,$25.75 ,$1.61 ,163,9.82%,1.57,6.25%,$25.75 ,$850.00 ,$25.75 ,1
K2615,Yahoo - US,4.3E+16,international air fare,Advanced,Geo Targeted New York,International New York,uncategorized,,Unassigned,Paused,$6.25 ,10,$25.79 ,$2.58 ,830,1.20%,3.44,10.00%,$25.79 ,$816.00 ,$25.79 ,1
K2615,Yahoo - US,4.3E+16,airfrance,Advanced,Air France Branded,Air France Website,uncategorized,,Unassigned,Live,$7.50 ,"23,893","$17,939.35 ",$0.75 ,"162,070",14.74%,1.6,1.76%,$42.61 ,"$567,463.40 ","$17,939.35 ",421
K2966,MSN - US,4.3E+16,airfrance com,Broad,Air France Brand & French Destinations,Air France Website,uncategorized,,Unassigned,Live,$0.00 ,"1,498",$951.31 ,$0.64 ,"5,490",27.29%,1.15,1.60%,$39.64 ,"$30,053.45 ",$951.31 ,24
K1123,Overture - Global,4.3E+16,air france us,Advanced,Unassigned,Unassigned,airfrance,Position 1-2 Target,Unassigned,Paused,$7.50 ,87,$38.69 ,$0.44 ,"2,505",3.47%,1.19,1.15%,$38.69 ,"$1,202.75 ",$38.69 ,1
K2615,Yahoo - US,4.3E+16,france flight,Standard,Paris & France Terms,France,uncategorized,,Unassigned,Live,$6.25 ,107,$136.30 ,$1.27 ,"3,137",3.41%,1,0.93%,$136.30 ,"$4,148.00 ",$136.30 ,1
K1122,Overture - US,4.3E+16,air france,Standard,Unassigned,Unassigned,airfrance,Position 1-4 Bid Strategy,Unassigned,Unavailable,$7.50 ,"2,235","$1,441.32 ",$0.64 ,"38,432",5.82%,1.37,1.70%,$37.93 ,"$43,020.20 ","$1,441.32 ",38
K435,Google - US,4.3E+16,air france airlines,Broad,Air France Branded,Air France Brand,uncategorized,Position 1 -2 Target,Unassigned,Live,$18.75 ,"2,454","$1,050.79 ",$0.43 ,"11,128",22.05%,1.18,1.14%,$37.53 ,"$31,200.10 ","$1,050.79 ",28
K1122,Overture - US,4.3E+16,airfare paris france,Standard,Unassigned,Unassigned,paris,Position 2-5 Bid Strategy,Unassigned,Paused,$0.70 ,19,$19.54 ,$1.03 ,200,9.50%,2.17,5.26%,$19.54 ,$569.50 ,$19.54 ,1
